adjusted_opening,adjusted_total_gross,budget,close,distributor,genre,movie_title,open,rank,rating,release_date,runtime,studio,theaters,total_gross,year
"$49,767,100","$143,547,200",$40 million,11/6,Universal,Sci-Fi Action,Lucy,7/25,24,R,"July 25, 2014",1 hrs. 30 min.,Uni.,"3,202","$126,663,600",2014
"$52,785,500","$137,998,400",$12 million,10/9,Fox,Drama,The Fault in our Stars,6/6,25,PG-13,"June 6, 2014",2 hrs. 5 min.,Fox,"3,340","$124,872,350",2014
"$33,794,300","$130,071,100",$65 million,3/12,Universal,War Drama,Unbroken,12/25,26,PG-13,"December 25, 2014",2 hrs. 17 min.,Uni.,"3,301","$115,637,895",2014
"$18,872,400","$127,427,400",$127 million,7/9,Fox,Family Adventure,Night at the Museum: Secret of the Tomb,12/19,27,PG,"December 19, 2014",1 hrs. 37 min.,Fox,"3,914","$113,746,621",2014
"$37,062,400","$127,001,900",$145 million,9/4,Fox,Animation,Mr. Peabody & Sherman,3/7,28,PG,"March 7, 2014",1 hrs. 30 min.,Fox,"3,951","$111,506,430",2014
"$51,828,200","$122,149,800",$110 million,5/29,Warner Bros.,Period Action,300: Rise of An Empire,3/7,29,R,"March 7, 2014",1 hrs. 42 min.,WB,"3,490","$106,580,051",2014
"$36,858,600","$114,271,100",$34 million,2/5,Fox,Sci-Fi Thriller,The Maze Runner,9/19,30,PG-13,"September 19, 2014",1 hrs. 53 min.,Fox,"3,638","$102,427,862",2014
"$38,700,800","$112,067,600",$55 million,1/11,Sony / Columbia,Thriller,The Equalizer,9/26,31,R,"September 26, 2014",2 hrs. 8 min.,Sony,"3,236","$101,530,738",2014
"$50,311,500","$111,283,600",$125 million,6/19,Paramount,Drama,Noah,3/28,32,PG-13,"March 28, 2014",2 hrs. 18 min.,Par.,"3,571","$101,200,044",2014
"$31,625,900","$110,914,200",$178 million,9/11,Warner Bros.,Sci-Fi Action,Edge of Tomorrow,6/6,33,PG-13,"June 6, 2014",1 hrs. 53 min.,WB,"3,505","$100,206,256",2014
"$33,228,700","$105,496,600",$50 million,5/29,Universal,Thriller,Non-Stop,2/28,34,PG-13,"February 28, 2014",1 hrs. 50 min.,Uni.,"3,183","$92,168,600",2014
"$529,000","$102,579,700",,5/14,Weinstein Company,Drama,The Imitation Game,11/28,35,PG-13,"November 28, 2014",1 hrs. 54 min.,Wein.,"2,402","$91,125,683",2014
"$24,766,300","$100,605,900",$12 million,8/10,TriStar,Drama,Heaven is for Real,4/16,36,PG,"April 16, 2014",1 hrs. 40 min.,TriS,"3,048","$91,443,253",2014
"$17,505,500","$96,199,600",$65 million,3/15,Sony / Columbia,Musical,Annie (2014),12/19,37,PG,"December 19, 2014",1 hrs. 58 min.,Sony,"3,197","$85,911,262",2014
"$24,461,100","$95,818,200",$20 million,10/16,Warner Bros. (New Line),Comedy,Tammy,7/2,38,R,"July 2, 2014",1 hrs. 36 min.,WB (NL),"3,465","$84,525,432",2014
"$39,853,500","$95,188,900",$40 million,2/12,Universal,Comedy,Dumb and Dumber To,11/14,39,PG-13,"November 14, 2014",1 hrs. 50 min.,Uni.,"3,188","$86,208,010",2014
"$26,158,300","$94,732,800",$68 million,1/19,Sony / Columbia,War,Fury (2014),10/17,40,R,"October 17, 2014",2 hrs. 14 min.,Sony,"3,313","$85,817,906",2014
"$20,194,800","$93,274,900",$17 million,12/11,Fox,Action Comedy,Let's Be Cops,8/13,41,R,"August 13, 2014",1 hrs. 44 min.,Fox,"3,140","$82,390,774",2014
"$40,981,900","$93,005,800",$6.5 million,12/18,Warner Bros. (New Line),Horror,Annabelle,10/3,42,R,"October 3, 2014",1 hrs. 35 min.,WB (NL),"3,215","$84,273,813",2014
"$28,084,200","$92,359,900",$132 million,5/7,Fox,Animation,Penguins of Madagascar,11/26,43,PG,"November 26, 2014",1 hrs. 32 min.,Fox,"3,775","$83,350,911",2014
"$27,231,200","$92,294,900",$40 million,8/14,Fox,Comedy,The Other Woman (2014),4/25,44,PG-13,"April 25, 2014",1 hrs. 49 min.,Fox,"3,306","$83,911,193",2014
"$25,320,500","$89,699,500",$70 million,5/18,Sony / Columbia,Action Drama,The Monuments Men,2/7,45,PG-13,"February 7, 2014",1 hrs. 50 min.,Sony,"3,083","$78,031,620",2014
"$33,783,500","$82,389,600",$100 million,10/16,Paramount,Action / Adventure,Hercules (2014),7/25,46,PG-13,"July 25, 2014",1 hrs. 38 min.,Par.,"3,595","$72,688,614",2014
"$33,802,100","$81,581,600",$9 million,9/18,Universal,Thriller,The Purge: Anarchy,7/18,47,R,"July 18, 2014",1 hrs. 43 min.,Uni.,"2,856","$71,962,800",2014
"$20,262,600","$73,938,300",$28 million,2/26,Buena Vista,Family,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",10/10,48,PG,"October 10, 2014",1 hrs. 21 min.,BV,"3,117","$66,954,149",2014
"$22,351,100","$73,863,200",$42 million,5/8,Open Road Films,Animation,The Nut Job,1/17,49,PG,"January 17, 2014",1 hrs. 26 min.,ORF,"3,472","$64,251,541",2014
"$32,155,600","$72,609,600",$24 million,8/17,Sony / Screen Gems,Comedy,Think Like a Man Too,6/20,50,PG-13,"June 20, 2014",1 hrs. 46 min.,SGem,"2,225","$65,182,182",2014
"$26,614,700","$72,221,800",$140 million,2/26,Fox,Drama,Exodus: Gods and Kings,12/12,51,PG-13,"December 12, 2014",2 hrs. 30 min.,Fox,"3,503","$65,014,513",2014
"$29,461,400","$68,551,400",,6/5,Fox,Drama,Son of God,2/28,52,PG-13,"February 28, 2014",2 hrs. 18 min.,Fox,"3,271","$59,700,064",2014
"$10,606,500","$67,478,700",$2 million,8/7,Freestyle Releasing,Drama,God's Not Dead,3/21,53,PG,"March 21, 2014",1 hrs. 53 min.,Free,"1,860","$60,755,732",2014
"$24,950,000","$67,369,400",$100 million,5/18,Sony / Columbia,Sci-Fi Action,RoboCop (2014),2/12,54,PG-13,"February 12, 2014",1 hrs. 48 min.,Sony,"3,372","$58,607,007",2014
"$19,849,800","$67,056,800",$50 million,11/13,Buena Vista,Animation,Planes: Fire & Rescue,7/18,55,PG,"July 18, 2014",1 hrs. 23 min.,BV,"3,839","$59,165,787",2014
"$933,500","$66,037,500",$25 million,2/26,Fox Searchlight,Comedy,The Grand Budapest Hotel,3/7,56,R,"March 7, 2014",1 hrs. 40 min.,FoxS,"1,467","$59,301,324",2014
"$25,951,100","$62,111,800",$70 million,11/27,Universal,Action Horror,Dracula Untold,10/10,57,PG-13,"October 10, 2014",1 hrs. 32 min.,Uni.,"2,900","$56,280,355",2014
"$12,446,800","$61,423,100",$22 million,12/4,Buena Vista,Drama,The Hundred-Foot Journey,8/8,58,PG,"August 8, 2014",2 hrs. 2 min.,BV,"2,167","$54,240,821",2014
"$17,059,000","$60,210,000",$42 million,2/19,Warner Bros.,Comedy,Horrible Bosses 2,11/26,59,R,"November 26, 2014",1 hrs. 48 min.,WB,"3,400","$54,445,357",2014
"$27,491,700","$59,250,700",$13.2 million,11/2,Sony / Screen Gems,Thriller,No Good Deed (2014),9/12,60,PG-13,"September 12, 2014",1 hrs. 24 min.,SGem,"2,175","$52,543,632",2014
"$630,700","$58,723,800",$20 million,4/16,Paramount,Drama,Selma,12/25,61,PG-13,"December 25, 2014",2 hrs. 7 min.,Par.,"2,235","$52,076,908",2014
"$17,781,400","$58,196,900",$60 million,4/3,Paramount,Action Thriller,Jack Ryan: Shadow Recruit,1/17,62,PG-13,"January 17, 2014",1 hrs. 40 min.,Par.,"3,387","$50,577,412",2014
"$19,568,700","$57,401,900",$50 million,7/17,Buena Vista,Family Comedy,Muppets Most Wanted,3/21,63,PG,"March 21, 2014",1 hrs. 52 min.,BV,"3,194","$51,183,113",2014
"$17,774,900","$57,153,000",$11 million,11/6,Warner Bros. (New Line),Drama,If I Stay,8/22,64,PG-13,"August 22, 2014",1 hrs. 46 min.,WB (NL),"3,157","$50,474,843",2014
"$21,935,400","$56,125,400",$5 million,12/18,Universal,Horror,Ouija,10/24,65,PG-13,"October 24, 2014",1 hrs. 29 min.,Uni.,"2,899","$50,856,010",2014
"$19,584,300","$56,116,300",$60 million,2/5,Focus Features,Animation,The Boxtrolls,9/26,66,PG,"September 26, 2014",1 hrs. 37 min.,Focus,"3,464","$50,837,305",2014
"$29,515,700","$55,955,100",$12.5 million,4/27,Sony / Screen Gems,Romantic Comedy,About Last Night (2014),2/14,67,R,"February 14, 2014",1 hrs. 40 min.,SGem,"2,253","$48,637,684",2014
"$18,767,200","$55,375,600",$50 million,2/26,Fox,Animation,The Book of Life (2014),10/17,68,PG,"October 17, 2014",1 hrs. 35 min.,Fox,"3,113","$50,151,543",2014
"$19,665,000","$53,932,200",$50 million,11/20,Warner Bros. (New Line),Thriller,Into The Storm,8/8,69,PG-13,"August 8, 2014",1 hrs. 29 min.,WB (NL),"3,434","$47,602,194",2014
"$14,646,500","$52,664,100",$40 million,9/25,Warner Bros.,Musical,Jersey Boys,6/20,70,R,"June 20, 2014",2 hrs. 14 min.,WB,"2,905","$47,047,013",2014
"$14,475,300","$52,006,300",$50 million,1/15,Warner Bros.,Drama,The Judge,10/10,71,R,"October 10, 2014",2 hrs. 21 min.,WB,"3,003","$47,119,388",2014
"$13,949,700","$51,067,000",$25 million,12/11,Weinstein Company,Fantasy Drama,The Giver,8/15,72,PG-13,"August 15, 2014",1 hrs. 31 min.,Wein.,"3,003","$45,090,374",2014
"$15,707,300","$51,021,100",$40 million,8/28,Warner Bros.,Romantic Comedy,Blended,5/23,73,PG-13,"May 23, 2014",1 hrs. 57 min.,WB,"3,555","$46,294,610",2014
"$20,535,100","$49,627,800",$66 million,6/19,Buena Vista,Action,Need for Speed,3/14,74,PG-13,"March 14, 2014",2 hrs. 10 min.,BV,"3,115","$43,577,636",2014
"$121,300","$48,748,100",,3/5,Weinstein Company,Comedy,St. Vincent,10/10,75,PG-13,"October 10, 2014",1 hrs. 43 min.,Wein.,"2,552","$44,137,712",2014
"$15,909,600","$47,505,600",$20 million,1/22,Lionsgate/Summit,Action,John Wick,10/24,76,R,"October 24, 2014",1 hrs. 36 min.,LG/S,"2,589","$43,037,835",2014
"$18,471,100","$47,505,100",$40 million,7/17,Universal,Western Comedy,A Million Ways to Die in the West,5/30,77,R,"May 30, 2014",1 hrs. 56 min.,Uni.,"3,160","$43,139,300",2014
"$17,995,100","$47,245,200",$36 million,12/18,Warner Bros.,Family,Dolphin Tale 2,9/12,78,PG,"September 12, 2014",1 hrs. 47 min.,WB,"3,656","$42,024,533",2014
"$468,400","$47,195,400",$18 million,4/16,Fox Searchlight,Comedy / Drama,Birdman,10/17,79,R,"October 17, 2014",1 hrs. 59 min.,FoxS,"1,213","$42,340,598",2014
"$18,002,200","$44,566,400",,10/16,Lionsgate,Action,The Expendables 3,8/15,80,PG-13,"August 15, 2014",1 hrs. 43 min.,LGF,"3,221","$39,322,544",2014
"$9,482,700","$44,130,700",$13 million,10/30,Relativity,Adventure,Earth to Echo,7/2,81,PG,"July 2, 2014",1 hrs. 31 min.,Rela.,"3,230","$38,934,842",2014
"$16,560,700","$43,695,300",$40 million,9/21,Sony / Columbia,Comedy,Sex Tape,7/18,82,R,"July 18, 2014",1 hrs. 34 min.,Sony,"3,062","$38,543,473",2014
"$669,700","$42,457,400",,5/7,Fox Searchlight,Drama,Wild (2014),12/3,83,R,"December 3, 2014",1 hrs. 55 min.,FoxS,"1,361","$37,880,356",2014
"$11,563,400","$40,149,700",$25 million,8/21,Buena Vista,Sports Drama,Million Dollar Arm,5/16,84,PG,"May 16, 2014",2 hrs. 4 min.,BV,"3,019","$36,457,627",2014
"$230,400","$39,968,900",$15 million,4/16,Focus Features,Drama,The Theory of Everything,11/7,85,PG-13,"November 7, 2014",2 hrs. 3 min.,Focus,"1,220","$35,893,537",2014
"$13,103,100","$38,317,100",$19.8 million,12/4,Warner Bros.,Comedy,This is Where I Leave You,9/19,86,R,"September 19, 2014",1 hrs. 43 min.,WB,"2,868","$34,296,320",2014
"$10,076,000","$37,872,400",$25 million,2/19,Paramount,Crime Drama,The Gambler,12/25,87,R,"December 25, 2014",1 hrs. 51 min.,Par.,"2,494","$33,680,992",2014
"$21,109,000","$37,356,200",$5 million,2/20,Paramount,Horror,Paranormal Activity: The Marked Ones,1/3,88,R,"January 3, 2014",1 hrs. 24 min.,Par.,"2,883","$32,462,372",2014
"$11,522,800","$35,754,100",$8.5 million,2/5,Open Road Films,Crime Drama,Nightcrawler,10/31,89,R,"October 31, 2014",1 hrs. 57 min.,ORF,"2,766","$32,381,217",2014
"$14,087,800","$35,291,300",$28 million,5/15,Relativity,Action Thriller,3 Days to Kill,2/21,90,PG-13,"February 21, 2014",1 hrs. 57 min.,Rela.,"2,872","$30,697,999",2014
"$225,400","$35,020,100",,9/11,Open Road Films,Comedy,Chef,5/9,91,R,"May 9, 2014",1 hrs. 55 min.,ORF,"1,298","$31,424,003",2014
"$15,401,900","$34,807,000",,9/18,Universal,Music Drama,Get On Up,8/1,92,PG-13,"August 1, 2014",2 hrs. 18 min.,Uni.,"2,469","$30,703,100",2014
"$11,042,400","$34,664,200",$30 million,8/10,Sony / Screen Gems,Horror,Deliver Us From Evil,7/2,93,R,"July 2, 2014",1 hrs. 58 min.,SGem,"3,049","$30,577,122",2014
"$9,501,800","$34,112,100",$15 million,11/2,TriStar,Sports Drama,When the Game Stands Tall,8/22,94,PG,"August 22, 2014",1 hrs. 55 min.,TriS,"2,766","$30,127,963",2014
"$10,758,400","$31,716,100",,6/19,Lionsgate/Summit,Sports Drama,Draft Day,4/11,95,PG-13,"April 11, 2014",1 hrs. 50 min.,LG/S,"2,781","$28,842,237",2014
"$13,201,600","$30,454,800",$5 million,6/26,Relativity,Horror,Oculus,4/11,96,R,"April 11, 2014",1 hrs. 45 min.,Rela.,"2,648","$27,695,246",2014
"$10,060,000","$29,995,800",$8 million,4/3,Focus Features,Romantic Comedy,That Awkward Moment,1/31,97,R,"January 31, 2014",1 hrs. 34 min.,Focus,"2,809","$26,068,955",2014
"$11,040,400","$29,542,200",$26 million,1/15,Relativity,Romance,The Best of Me,10/17,98,PG-13,"October 17, 2014",1 hrs. 57 min.,Rela.,"2,936","$26,766,213",2014
"$14,464,200","$29,533,400",$28 million,10/23,Universal,Drama,A Walk Among the Tombstones,9/19,99,R,"September 19, 2014",1 hrs. 54 min.,Uni.,"2,714","$26,307,600",2014
"$439,400","$28,692,600",$4 million,3/22,IFC,Drama,Boyhood,7/11,100,R,"July 11, 2014",2 hrs. 46 min.,IFC,775,"$25,352,281",2014
"$8,469,700","$26,773,800",,10/30,Relativity,Action,The November Man,8/27,101,R,"August 27, 2014",1 hrs. 48 min.,Rela.,"2,776","$25,018,119",2014
"$7,187,400","$26,619,600",,2/5,Paramount,Comedy,Top Five,12/12,102,R,"December 12, 2014",1 hrs. 41 min.,Par.,"1,426","$25,317,379",2014
"$14,460,600","$25,470,000",$20 million,3/20,Universal,Romance,Endless Love (2014),2/14,103,PG-13,"February 14, 2014",1 hrs. 43 min.,Uni.,"2,896","$23,438,250",2014
"$11,237,200","$25,216,000",$100 million,4/20,TriStar,Action Drama,Pompeii,2/21,104,PG-13,"February 21, 2014",1 hrs. 42 min.,TriS,"2,658","$23,219,748",2014
"$11,304,600","$23,906,700",$100 million,6/19,Warner Bros.,Sci-Fi,Transcendence,4/18,105,PG-13,"April 18, 2014",2 hrs. 0 min.,WB,"3,455","$23,022,309",2014
"$9,241,800","$22,809,900",,10/9,Universal,Thriller,As Above/So Below,8/29,106,R,"August 29, 2014",1 hrs. 33 min.,Uni.,"2,650","$21,321,100",2014
"$9,882,400","$21,183,300",$28 million,7/3,Relativity,Action,Brick Mansions,4/25,107,PG-13,"April 25, 2014",1 hrs. 30 min.,Rela.,"2,647","$20,396,829",2014
"$9,356,800","$20,728,800",$65 million,3/20,Lionsgate,Action Horror,"I, Frankenstein",1/24,108,PG-13,"January 24, 2014",1 hrs. 32 min.,LGF,"2,753","$19,075,290",2014
"$9,637,100","$20,482,400",$70 million,3/13,Lionsgate/Summit,Action / Adventure,The Legend of Hercules,1/10,109,PG-13,"January 10, 2014",1 hrs. 39 min.,LG/S,"2,104","$18,848,538",2014
"$4,959,700","$18,466,200",,7/17,Buena Vista,Documentary,Bears,4/18,110,G,"April 18, 2014",1 hrs. 18 min.,BV,"1,790","$17,780,194",2014
"$2,876,800","$18,446,600",,11/13,Roadside Attractions,Thriller,A Most Wanted Man,7/25,111,R,"July 25, 2014",2 hrs. 1 min.,RAtt.,801,"$17,237,855",2014
"$7,801,000","$18,124,100",,12/4,Lionsgate,Drama,Addicted,10/10,112,R,"October 10, 2014",1 hrs. 45 min.,LGF,"1,037","$17,390,770",2014
"$9,183,600","$17,995,200",$4 million,6/12,Open Road Films,Horror Comedy,A Haunted House 2,4/18,113,R,"April 18, 2014",1 hrs. 27 min.,ORF,"2,310","$17,329,486",2014
"$139,200","$17,310,200",,10/16,Weinstein Company,Comedy,Begin Again,6/27,114,R,"June 27, 2014",1 hrs. 44 min.,Wein.,"1,302","$16,170,632",2014
"$8,775,100","$17,257,400",,5/1,Lionsgate,Comedy / Drama,Tyler Perry's The Single Moms Club,3/14,115,PG-13,"March 14, 2014",1 hrs. 51 min.,LGF,"1,896","$15,973,881",2014
"$9,028,400","$17,192,900",$7 million,3/20,Fox,Horror,Devil's Due,1/17,116,R,"January 17, 2014",1 hrs. 29 min.,Fox,"2,544","$15,821,461",2014
"$4,969,800","$16,229,900",,10/2,Clarius Entertainment,Comedy / Drama,And So It Goes,7/25,117,PG-13,"July 25, 2014",1 hrs. 34 min.,CE,"1,816","$15,160,801",2014
"$6,926,300","$15,954,800",,10/2,Lionsgate/Summit,Music Drama,Step Up All In,8/8,118,PG-13,"August 8, 2014",1 hrs. 52 min.,LG/S,"2,072","$14,904,384",2014
"$40,100","$15,463,500",,9/4,Lionsgate,Documentary,America (2014),6/27,119,PG-13,"June 27, 2014",1 hrs. 43 min.,LGF,"1,105","$14,444,502",2014
"$3,128,300","$15,394,700",,3/26,Weinstein Company,Drama,Big Eyes,12/25,120,PG-13,"December 25, 2014",1 hrs. 46 min.,Wein.,"1,408","$14,482,031",2014
"$6,461,700","$15,238,100",$7 million,2/5,Relativity,Drama,Beyond the Lights,11/14,121,PG-13,"November 14, 2014",1 hrs. 56 min.,Rela.,"1,789","$14,618,727",2014
"$6,763,400","$14,726,300",,10/9,Weinstein / Dimension,Crime,Frank Miller's Sin City: A Dame to Kill For,8/22,122,R,"August 22, 2014",1 hrs. 42 min.,W/Dim.,"2,894","$13,757,804",2014
"$6,565,800","$14,611,100",$16 million,12/11,Freestyle Releasing,Thriller,Left Behind (2014),10/3,123,PG-13,"October 3, 2014",1 hrs. 45 min.,Free,"1,887","$14,019,924",2014
"$5,623,900","$14,530,600",$18 million,3/20,Paramount,Drama,Labor Day,1/31,124,PG-13,"January 31, 2014",1 hrs. 51 min.,Par.,"2,584","$13,371,528",2014
"$141,100","$13,824,600",$3.3 million,4/12,Sony Classics,Drama,Whiplash,10/10,125,R,"October 10, 2014",1 hrs. 46 min.,SPC,567,"$13,092,000",2014
"$7,930,300","$13,691,400",$60 million,4/3,Warner Bros.,Fantasy,Winter's Tale,2/14,126,PG-13,"February 14, 2014",2 hrs. 9 min.,WB,"2,965","$12,600,231",2014
"$282,300","$12,765,700",,3/8,Sony Classics,Drama,Foxcatcher,11/14,127,R,"November 14, 2014",2 hrs. 14 min.,SPC,759,"$12,096,300",2014
"$195,500","$11,745,400",,-,Warner Bros.,IMAX,Island of Lemurs: Madagascar (IMAX),4/4,128,G,"April 4, 2014",0 hrs. 39 min.,WB,302,"$11,230,859",2014
"$4,394,100","$11,420,500",$12.6 million,11/13,Fox Searchlight,Crime Drama,The Drop,9/12,129,R,"September 12, 2014",1 hrs. 46 min.,FoxS,"1,192","$10,724,389",2014
"$441,200","$11,274,700",,11/20,Sony Classics,Comedy / Drama,Magic in the Moonlight,7/25,130,PG-13,"July 25, 2014",1 hrs. 38 min.,SPC,964,"$10,539,326",2014
"$110,700","$11,181,300",,8/28,Fox Searchlight,Drama,Belle,5/2,131,PG,"May 2, 2014",1 hrs. 45 min.,FoxS,525,"$10,726,630",2014
"$3,715,600","$11,166,700",,2/12,UTV Communications,Foreign,P.K.,12/19,132,Unrated,"December 19, 2014",2 hrs. 33 min.,UTV,272,"$10,616,104",2014
"$5,729,500","$10,912,200",,5/15,Open Road Films,Action Thriller,Sabotage (2014),3/28,133,R,"March 28, 2014",1 hrs. 49 min.,ORF,"2,486","$10,508,518",2014
"$4,476,700","$10,838,000",$5 million,7/13,TriStar,Comedy,Moms' Night Out,5/9,134,PG,"May 9, 2014",1 hrs. 38 min.,TriS,"1,046","$10,429,707",2014
"$4,029,100","$8,836,800",,6/5,Lionsgate,Horror,The Quiet Ones,4/25,135,PG-13,"April 25, 2014",1 hrs. 38 min.,LGF,"2,027","$8,509,867",2014
"$3,891,800","$8,788,300",$70 million,7/31,Clarius Entertainment,Animation,Legends of Oz: Dorothy's Return,5/9,136,PG,"May 9, 2014",1 hrs. 28 min.,CE,"2,658","$8,462,027",2014
"$342,000","$8,622,700",,2/26,Warner Bros.,Crime,Inherent Vice,12/12,137,R,"December 12, 2014",2 hrs. 28 min.,WB,653,"$8,110,975",2014
"$4,261,700","$8,466,800",,4/10,Weinstein Company,Fantasy,Vampire Academy,2/7,138,PG-13,"February 7, 2014",1 hrs. 44 min.,Wein.,"2,676","$7,791,979",2014
"$123,100","$8,122,800",,5/29,Focus Features,Comedy,Bad Words,3/14,139,R,"March 14, 2014",1 hrs. 28 min.,Focus,"1,074","$7,779,614",2014
"$2,849,000","$6,826,900",,10/16,Lionsgate,Drama,Cantinflas,8/29,140,PG,"August 29, 2014",1 hrs. 46 min.,LGF,429,"$6,382,924",2014
"$1,870,300","$6,478,600",,1/25,Sony / Columbia,Comedy,The Interview (2014),12/25,141,R,"December 25, 2014",1 hrs. 52 min.,Sony,581,"$6,105,175",2014
"$2,615,600","$6,303,400",,2/12,Purdie Distribution,Documentary,Meet the Mormons,10/10,142,PG,"October 10, 2014",1 hrs. 18 min.,Purd.,333,"$6,047,363",2014
"$180,100","$6,119,900",$20 million,4/26,A24,Drama / Thriller,A Most Violent Year,12/31,143,R,"December 31, 2014",2 hrs. 5 min.,A24,818,"$5,749,134",2014
"$3,109,600","$5,785,500",,5/8,Lionsgate,Drama,Cesar Chavez,3/28,144,PG-13,"March 28, 2014",1 hrs. 41 min.,LGF,664,"$5,571,497",2014
"$340,900","$5,641,400",,5/22,Buena Vista,Animation,The Wind Rises,2/21,145,PG-13,"February 21, 2014",2 hrs. 6 min.,BV,496,"$5,209,580",2014
"$407,500","$5,538,100",,12/25,Roadside Attractions,Drama,The Skeleton Twins,9/12,146,R,"September 12, 2014",1 hrs. 33 min.,RAtt.,461,"$5,284,309",2014
"$177,800","$4,885,200",,10/23,Radius-TWC,Sci-Fi Action,Snowpiercer,6/27,147,R,"June 27, 2014",2 hrs. 6 min.,RTWC,356,"$4,563,650",2014
"$64,200","$4,610,500",,7/17,Weinstein Company,Drama,The Railway Man,4/11,148,R,"April 11, 2014",1 hrs. 47 min.,Wein.,600,"$4,438,438",2014
